Research Question 1: How does the number of triggers in a pipeline correlate with the number of stages in the pipeline?
Correlation Coefficient: 0.13571
"
"
Parsed Jenkinsfile Data
RepoNum,Username,RepositoryName,TriggerType,TriggerValue,TriggerOccurrence,StageName,StageOccurrence
1,fxjordan,junit5-mockito-extension,,,,Build,1
,,,,,,Deploy,2
,,,,,,,
2,fxjordan,rest-job-service,,,,Build,1
,,,,,,Deploy,2
,,,,,,,
3,dwalldorf,timetrack,pollSCM,* * * * *,1,Test,1
,,,,,,Build,2
,,,,,,,
4,fxjordan,spring-hateoas-hal-support,,,,Build,1
,,,,,,Deploy,2
,,,,,,,
5,fxjordan,spring-utils,,,,Build,1
,,,,,,Deploy,2
,,,,,,,
6,jenkins-infra,deprecated-usage-in-plugins,cron,H H * * *,1,Checkout,1
,,,,,,Build,2
,,,,,,Archive,3
,,,,,,,
7,tsamaya,react-and-spring,pollSCM,* * * * 1-5,1,Webpack Build,1
,,,,,,Gradle Build,2
,,,,,,,
8,chinkurgp,maven-project1,pollSCM,* * * * *,1,Build,1
,,,,,,Deployments,2
,,,,,,Deploy to Staging,3
,,,,,,Deploy to Production,4
,,,,,,,
9,moalmeida,example-javascript-api,pollSCM,* * * * *,1,Checkout,1
,,,,,,Dependencies,2
,,,,,,Code Scan,3
,,,,,,Unit Test,4
,,,,,,Integration Test,5
,,,,,,Build,6
,,,,,,Publish,7
,,,,,,Deploy,8
,,,,,,,
10,jed-frey,matlab_junit_xml,cron,0 0 * * *,1,Checkout SCM,1
,,,pollSCM,*/5 * * * *,2,Run Examples,2
,,,,,,Package Toolbox,3
,,,,,,,
11,monkeylittle,java.spring-jpa-inheritance,pollSCM,*/1 * * * *,1,Code Commit,1
,,,,,,Build,2
,,,,,,Test,3
,,,,,,Acceptance Test,4
,,,,,,Performance Test,5
,,,,,,Stability Test,6
,,,,,,Exploratory Test,7
,,,,,,Production,8
,,,,,,,
12,krasowskir,meinTest,pollSCM,* * * * *,1,Checkout,1
,,,,,,Compile,2
,,,,,,Unit test,3
,,,,,,Final steps,4
,,,,,,,
13,abosma,webshop-soap,pollSCM,H/3 * * * *,1,Initialize,1
,,,,,,Build,2
,,,,,,Test,3
,,,,,,Report,4
,,,,,,,
14,idylnlp,idylnlp-stanford-core-nlp,pollSCM,H/10 * * * *,1,Initialize,1
,,,,,,Build,2
,,,,,,,
15,idylnlp,idylnlp-nifi,pollSCM,H/10 * * * *,1,Initialize,1
,,,,,,Build,2
,,,,,,,
16,buildit,jenkins-pipeline-libraries,pollSCM,* * * * *,1,Build,1
,,,,,,Test,2
,,,,,,,
17,idylnlp,idylnlp-model-zoo,pollSCM,H/10 * * * *,1,Initialize,1
,,,,,,Build,2
,,,,,,,
18,idylnlp,idylnlp-samples,pollSCM,H/10 * * * *,1,Initialize,1
,,,,,,Build,2
,,,,,,,
19,oksanasemeshkina,Tomcat,pollSCM,*/5 * * * *,1,Build,1
,,,,,,Test,2
,,,,,,Deploy,3
,,,,,,,
20,kunimido,eztrade-forex-service,upstream,/eztrade/eztrade-service-common/${env.BRANCH_NAME},1,Maven build,1
,,,,,,,
21,sogis,gretl,pollSCM,H/15 * * * *,1,Preparation,1
,,,,,,Build,2
,,,,,,,
22,hellgate75,jenkins-pipeline-libraries,pollSCM,* * * * *,1,Build,1
,,,,,,Test,2
,,,,,,,
23,ekstep,generator-ekstep-content-plugin,pollSCM,H/5 * * * *,1,Build,1
,,,,,,,
24,idylnlp,idylnlp-dl4j,pollSCM,H/10 * * * *,1,Initialize,1
,,,,,,Build,2
,,,,,,,
25,ekstep,ekstep-content-plugin-dev-common,pollSCM,H/5 * * * *,1,Build,1
,,,,,,,
