Research Question 1: What types of tools are used in the pipeline?
Repositories with Jenkinsfiles downloaded from GitHub: 200
Number of Jenkinsfiles suitable for parsing: 177
Number of Different Build Tools: 6
"Different Types of Build Tools: ['maven', 'jdk', 'nodejs', 'git', 'gradle', 'go']"
Average Number of Build Tools Used Per Repository: 1.4915
"Frequency of Build Tool Use by Repository: maven: 0.54, jdk: 0.39, nodejs: 0.04, git: 0.01, gradle: 0.02, go: 0.0, "
"
"
Parsed Jenkinsfile Data
RepoNum,Username,RepositoryName,ToolType,ToolVersion,NumberOfTools
1,rodrigomirazo,spring-boot-jenkins-pipeline,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
2,stubrowncloudbees,stu_pipeline_demos_blueocean,maven,maven,1
,,,,,
3,cristianrgreco,checkout-kata-node,nodejs,latest,1
,,,,,
4,gopikrishna1929,devopstraining,maven,maven3,1
,,,jdk,jdk8,2
,,,,,
5,yedlamadhu,gittest,maven,apache-maven-3.0.1,1
,,,,,
6,anascotti,java9-springboot,jdk,JDK9,1
,,,maven,mvn-3.5.2,2
,,,,,
7,polpoman,sts_prova,maven,Maven3,1
,,,jdk,JDK8,2
,,,,,
8,zainabed,translations,maven,Maven 3.2.1,1
,,,,,
9,sarguna19,maven-project,maven,localMAVEN,1
,,,,,
10,shankarkalmade,SpringSecurity,jdk,jdk8,1
,,,maven,maven3,2
,,,,,
11,gopikrishna1929,sample,maven,maven3,1
,,,jdk,jdk8,2
,,,,,
12,qshore,docker,maven,Maven 3.5.2,1
,,,,,
13,leolomi,project,maven,Maven 3.5.3,1
,,,jdk,jdk8,2
,,,,,
14,angsdey2,Demo-Spring-Boot-Application,maven,apache-maven-3.3.9,1
,,,,,
15,sargissargsyan,armindian-selenium,maven,maven,1
,,,,,
16,Pirrigat,MavenTest2,maven,Maven,1
,,,jdk,Java8u131,2
,,,,,
,,,,,
18,qshore,qshore_test1,maven,Maven 3.5.2,1
,,,,,
19,datoona,LearnCode,maven,maven,1
,,,,,
20,sunels,springEdu,maven,mvn,1
,,,jdk,jdk8,2
,,,,,
21,verydapeng,spring-boot-web-sample,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
22,relateid,demo2jennkins,git,Default,1
,,,,,
23,fbamgith,playingJenkins,maven,Maven 3.5.0,1
,,,,,
24,WebSlideR76,HelloWorld,maven,maven-tool,1
,,,,,
25,gilbride22,bananatest,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
26,tillmannheigel,FRDRV,gradle,gradle-4.3.1,1
,,,,,
27,tillmannheigel,FRDRV,gradle,gradle-4.3.1,1
,,,,,
28,lusyerit,armindian-tasks,maven,maven,1
,,,,,
,,,,,
30,Shushan91,My-First-Project,maven,maven,1
,,,,,
31,andrescuartasp,hw,maven,Maven,1
,,,jdk,java8,2
,,,,,
32,EnnoLohmann,AngularChunkReplacement,nodejs,MyNode,1
,,,,,
33,hemnarahari,webrepo,maven,maven_3.5.3,1
,,,,,
,,,,,
35,veeraaix,webproj1,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
36,shekumar,option2,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
37,finiteset,SelfHostedChatPolling,go,Go 1.8,1
,,,,,
38,lilitmkhoyan,JenkinsSelenium,maven,maven,1
,,,,,
39,shmuelmax,test2,maven,mvn,1
,,,jdk,jdk,2
,,,,,
40,shmuelmax,test2,maven,mvn,1
,,,jdk,jdk,2
,,,,,
41,rikmar15,devOps,jdk,JDK 8,1
,,,maven,apache-maven-3.3.9,2
,,,,,
42,apache,sling-site,maven,Maven 3.3.9,1
,,,jdk,JDK 1.8 (latest),2
,,,,,
,,,,,
44,erkoakka,example,maven,LOCALMAVEN,1
,,,jdk,jdk8,2
,,,,,
45,CalculatorApps,Calculator,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
46,Tomschi,jenkins-docker-pipeline,jdk,oraclejdk8,1
,,,,,
,,,,,
48,ozivnustka,jenkinsfile-helloworld,nodejs,nodejs8,1
,,,,,
