RepoNum,Username,RepositoryName,Artifact,Extension,fingerprint,onlyIfSuccessful,ParentSection,SectionName,Occurrence
1,sellorm,alsoran,*.rpm,.rpm,true,N/A,stage,Archive,1
1,sellorm,alsoran,*.deb,.deb,true,N/A,stage,Archive,2
2,Kaboomboom3,libRCON,libRCON.a,.a,false,N/A,stage,Build,1
2,Kaboomboom3,libRCON,libRCON.so,.so,false,N/A,stage,Build,2
3,aandalam,ci-cd-pipeline-demo,"*jar', excludes: 'null",None,false,N/A,stage,ArchiveArtifacts,1
4,Kaboomboom3,SpaceBattleArena,*.zip,.zip,false,N/A,stage,Build,1
5,yuanyuexiang,genesis,*.tar.gz,.tar.gz,false,N/A,stage,build,1
6,babusankarv,jenkins-test,new*2,None,true,N/A,post-always,always,1
7,temitos2,IwalewaPipeline,MyGod,None,true,N/A,post-always,always,1
8,zmaster587,AdvancedRocketry,*.jar,.jar,true,N/A,stage,Build,1
9,r1co,magnolia-hello-world,*.war,.war,false,N/A,stage,build,1
10,ambarish-bakre,CiBuildTest,*.exe,.exe,false,N/A,stage,Archive,1
10,ambarish-bakre,CiBuildTest,*.msi,.msi,false,N/A,stage,Archive,2
11,bluewhaleio,client,*,All,false,N/A,stage,push,1
12,CodeValet,external-artifacts,timestamp.txt,.txt,false,N/A,stage,Test,1
13,KodingKing1,HyperIRC,*.jar,.jar,false,N/A,stage,Archive,1
14,SiavashSardari,my-repo,*.jar,.jar,true,N/A,stage,Build,1
14,SiavashSardari,my-repo,*.jar,.jar,true,N/A,stage,Build,2
15,Avinashpv,pro1,*.war,.war,true,N/A,post-always,always,1
16,kamkie,demo-spring-jsf,*.jar,.jar,false,N/A,stage,artefacts,1
17,Shaoranlaos,scm-backup-plugin,*.scmp,.scmp,true,N/A,stage,Build,1
17,Shaoranlaos,scm-backup-plugin,*.jar,.jar,true,N/A,stage,Build,2
18,dzmdre,maven-test,*.war,.war,false,N/A,post-success,success,1
19,Kukkubacka,blueocean,*,All,false,N/A,stage,Artifact,1
20,jeffy555,Python,*,All,false,N/A,stage,Archive,1
21,zmaster587,libVulpes,*.jar,.jar,true,N/A,stage,Build,1
22,hngovi,javahelloworld,*.jar,.jar,true,N/A,post-always,always,1
23,eyedeekay,vaLAIR,bin,None,true,N/A,stage,Build,1
23,eyedeekay,vaLAIR,log,None,true,N/A,stage,Test,2
23,eyedeekay,vaLAIR,err,None,true,N/A,stage,Test,3
24,imejri,average,*.war,.war,false,N/A,post-success,success,1
