Research Question #3: In which pipeline sections or pipeline directives are artifacts most frequently and least frequently archived?
Answer: 
Section,NumArtifacts,Percentage
stage,159,60.5
post-always,53,20.2
post-success,26,9.9
post-failure,25,9.5
"
"
Jenkinsfile Parsed Data for Artifacts and Sections
RepoNum,Username,RepositoryName,Artifact,ParentSection,SectionName,Occurrence
1,sellorm,alsoran,*.rpm,stage,Archive,1
1,sellorm,alsoran,*.deb,stage,Archive,2
2,Kaboomboom3,libRCON,libRCON.a,stage,Build,1
2,Kaboomboom3,libRCON,libRCON.so,stage,Build,2
3,aandalam,ci-cd-pipeline-demo,"*jar', excludes: 'null",stage,ArchiveArtifacts,1
4,Kaboomboom3,SpaceBattleArena,*.zip,stage,Build,1
5,yuanyuexiang,genesis,*.tar.gz,stage,build,1
6,babusankarv,jenkins-test,new*2,post-always,always,1
7,temitos2,IwalewaPipeline,MyGod,post-always,always,1
8,zmaster587,AdvancedRocketry,*.jar,stage,Build,1
9,r1co,magnolia-hello-world,*.war,stage,build,1
10,ambarish-bakre,CiBuildTest,*.exe,stage,Archive,1
10,ambarish-bakre,CiBuildTest,*.msi,stage,Archive,2
11,bluewhaleio,client,*,stage,push,1
12,CodeValet,external-artifacts,timestamp.txt,stage,Test,1
13,KodingKing1,HyperIRC,*.jar,stage,Archive,1
14,SiavashSardari,my-repo,*.jar,stage,Build,1
14,SiavashSardari,my-repo,*.jar,stage,Build,2
15,Avinashpv,pro1,*.war,post-always,always,1
16,kamkie,demo-spring-jsf,*.jar,stage,artefacts,1
17,Shaoranlaos,scm-backup-plugin,*.scmp,stage,Build,1
17,Shaoranlaos,scm-backup-plugin,*.jar,stage,Build,2
18,dzmdre,maven-test,*.war,post-success,success,1
19,Kukkubacka,blueocean,*,stage,Artifact,1
20,jeffy555,Python,*,stage,Archive,1
21,zmaster587,libVulpes,*.jar,stage,Build,1
22,hngovi,javahelloworld,*.jar,post-always,always,1
23,eyedeekay,vaLAIR,bin,stage,Build,1
23,eyedeekay,vaLAIR,log,stage,Test,2
23,eyedeekay,vaLAIR,err,stage,Test,3
24,imejri,average,*.war,post-success,success,1
25,nagendran28,Nagu_CI-CD,*.jar,post-always,always,1
26,Aseg,API,docker-compose.yml,stage,Deploy,1
27,KyleU,boilerplay,*.zip,stage,Build,1
28,KyleU,solitaire.gg,*.zip,stage,Build,1
29,mseimys,minimal-react-redux,**,stage,Build,1
30,linuxacademy,cicd-pipeline-train-schedule-docker,trainSchedule.zip,stage,Build,1
31,mseimys,minimal-react-redux,**,stage,Build,1
32,nadeemt77,java-project,*.jar,post-always,always,1
33,nagarajkrisjay,testps2,*.jar,stage,Reports,1
34,asafg6,jenkins2-pipeline-example,*.txt,stage,Build,1
35,uldiskarlovskis,devops-rtu,*.jar,stage,Build,1
36,Anrop,Anrop-ACE-Server,*,stage,Build,1
37,jiyunet,jiyunet,*,stage,Build,1
38,kanag,henkins-hello,*.war,post-success,success,1
39,Lucasljungberg,sef18group15-CI-server,*,stage,Archive,1
40,danieleratti,test-deploy,*,stage,Ciao,1
41,rubixhacker,Kontact,*.aar,stage,Archive,1
42,blacklr,java-project,*.jar,post-always,always,1
43,tarjeio,libmathy,libmathy.a,stage,Publish,1
43,tarjeio,libmathy,mathy.h,stage,Publish,2
43,tarjeio,libmathy,results_junit.xml,stage,Publish,3
43,tarjeio,libmathy,*.zip,stage,Publish,4
44,dharmsheta,application-deliver,*.sh,stage,Build,1
45,maheshshekhar,mjava,*.jar,post-always,always,1
46,crazynagu07,Nagu_CI-CD,*.jar,post-always,always,1
47,birla01,jenkinscopy,*.war,post-success,success,1
48,KyleU,scala-js-typescript,*.zip,stage,Build,1
49,xueyuanzang,HelloWorld,*.jar,stage,Results,1
50,Sharparam,KFS,site.zip,stage,Build,1
51,zmora-agh,zmora-runner,zmora_runner,stage,Build,1
52,netants2016,Java-pipeline,*.jar,post-always,always,1
53,mittal-anshul,jenkins-java-project,*.jar,post-always,always,1
54,sammashu,demo-jenkin,*.war,post-success,success,1
55,sasquench,jet,jet,stage,Build,1
56,rautdeepak55,jenkins_pipeline,*.war,post-success,success,1
57,biels,Minicat,*.jar,stage,Build,1
58,baileyvw,jenkins-test,*.jar,post-always,always,1
59,zDevelopers,MultipleInventories,*.jar,stage,Build,1
60,stellasharon,jenkinsjob,*.jar,post-always,always,1
61,gouthamchilakala,windows-helloworld,**,post-success,success,1
62,rcaucone,cloudbees_workshop,env.txt,stage,Archive,1
63,gbane2012,Java-project,*.jar,post-always,always,1
64,arjunprabhulal,java-project,*.jar,post-always,always,1
65,tuxparty,tuxparty,tuxparty,stage,Build,1
66,endogix,WebFormWeaver,*,stage,Deploy,1
67,GoMint,jRakNet,jraknet-*.jar,stage,Store,1
68,jramnani,game-of-life,*.jar,stage,Package,1
69,b1-systems-training,jenkins-simple-pipeline,*.tbz,stage,Package,1
70,j-selby,oxidgb,oxidgb_glutin,stage,Deploy,1
71,linuxacademy,cicd-pipeline-train-schedule-cd,trainSchedule.zip,stage,Build,1
72,kmalhi,examples,*.sh,stage,Build,1
73,innaki2018,JenkinsPipeline,*.war,post-success,success,1
74,zDevelopers,ZePS-Core,*.jar,stage,Build,1
75,linagora,openpaas-mailets,*.jar,stage,Archive,1
76,ohnx-plugins,backpackSpigotPlugin,backpack-1.1.0.jar,stage,ArchiveArtifacts,1
77,prateekpatel,java-project,*.jar,post-always,always,1
78,sunilyadav85,elevator-app,*.jar,post-success,success,1
79,KodingKing1,KKMasterPlugin,*.jar,stage,ArchiveArtifacts,1
80,glorantq,ao3-java,*.jar,stage,Build,1
81,nagarajkrisjay,maven-test,*.jar,stage,Reports,1
82,troyaxthelm,jenkinsdemo,DemoFile,stage,error,1
83,crookm,loadjson,*,stage,Deploy,1
84,minnjm,maven-project-Jenkinsfile,*.war,post-success,success,1
85,GImbrailo,HelloPHP,*,stage,Test,1
86,cloudtraining,cloudnative,*.jar,stage,Build&Test,1
87,ykawakamy,sandbox-selenium,**,stage,step1,1
88,ykawakamy,sandbox-selenium,**,stage,step1,1
89,Haribook,maven-example-project,*jar,stage,archive,1
90,Anrop,Anrop-CBA-Settings,*,stage,Build,1
91,vamsi2799,sunny,*.war,post-always,always,1
92,melchor629,node-flac-bindings,*,stage,Store,1
93,Bloometa,SocialManager,*,stage,Deploy,1
94,Anrop,Anrop-ACE-Compat,*,stage,Build,1
95,linuxacademy,cicd-pipeline-train-schedule-dockerdeploy,trainSchedule.zip,stage,Build,1
96,DEFRA,os-places-address-lookup,*.jar,post-always,always,1
96,DEFRA,os-places-address-lookup,configuration.yml,post-always,always,2
97,whboyd,kube-test,trainSchedule.zip,stage,Build,1
98,sushantbhatnagar,rubyPrograms,random_number_result.txt,post-success,success,1
99,sigasi,sigasi_insights,*,stage,Archive,1
100,daniel-beck,pipeline-test,*,stage,Build,1
101,manasayelisetti,jenkins,*.jar,post-always,always,1
101,manasayelisetti,jenkins,*.jar,post-always,always,2
102,moritzfl,sorting-algorithms,*-shaded.jar,stage,archive,1
103,crookm,jsqueue,*,stage,Deploy,1
104,fsrodriguezm,jenkins-test,*.jar,post-always,always,1
105,eddyce,helloworld,*.whl,stage,Build,1
105,eddyce,helloworld,*.gz,stage,Build,2
106,ashokirla,theIsland,*,stage,Build,1
106,ashokirla,theIsland,*,stage,Build,2
106,ashokirla,theIsland,*,stage,Build,3
107,NicholasFeldman,BetterRecords,*.jar,stage,Deploy,1
108,hilaryrowe,documentation3,**.tar.gz,stage,Archive,1
109,razarthasaj,qa_testing_web_interfaces,*.jar,post-always,always,1
110,vhristev,Unix,*,stage,Arch,1
111,benlidgey,flyers-csv,Nadia.jar,stage,archive,1
111,benlidgey,flyers-csv,Nadia*javadoc.jar,stage,archive,2
112,przemko07,go_comments,*.log,stage,test,1
113,sandeep078,newproject1,*.jar,post-always,always,1
113,sandeep078,newproject1,*.jar,post-always,always,2
114,MarkEWaite,DevOptics-application,*.sh,stage,Build,1
115,shawnbelton,dccweb,*.jar,stage,Archive,1
115,shawnbelton,dccweb,*.zip,stage,Archive,2
115,shawnbelton,dccweb,*.tar.gz,stage,Archive,3
116,jihed,openshift-jmeter-kafka,*.csv,post-always,always,1
116,jihed,openshift-jmeter-kafka,*.log,post-always,always,2
116,jihed,openshift-jmeter-kafka,*.*,post-always,always,3
117,SWEN6305,management,*.war,post-success,success,1
118,dwalldorf,track-my-time,*.xml,stage,Build,1
118,dwalldorf,track-my-time,*.jar,stage,Artifacts,2
118,dwalldorf,track-my-time,pom.xml,stage,Artifacts,3
118,dwalldorf,track-my-time,Jenkinsfile,stage,Artifacts,4
119,GlacierOS,glacier-build,*.iso,stage,Archive,1
120,mani189189,jbuild2,*.jar,post-always,always,1
121,ohnx-plugins,DispenserTool,dispenserTool-0.0.1.jar,stage,ArchiveArtifacts,1
122,PrabhakaranAnnadurai,DemoProject4,test.txt,stage,Build,1
123,sudhirnakka,build-user-vars-plugin,build-user-vars-plugin.jar,stage,archive,1
123,sudhirnakka,build-user-vars-plugin,build-user-vars-plugin.hpi,stage,archive,2
124,Awia00,AndersWind.dk,dist,stage,BuildSite,1
125,freenas,build,**,post-success,success,1
125,freenas,build,**,post-failure,failure,2
126,j-selby,leaffront,leaffront-station,stage,Linux,1
126,j-selby,leaffront,leaffront-station.exe,stage,Windows,2
126,j-selby,leaffront,*.deb,stage,RaspberryPi,3
127,laogen01,tic-tac,build,stage,Deploy,1
128,dwalldorf,track-my-fuel,*.xml,stage,Build,1
128,dwalldorf,track-my-fuel,*.jar,stage,Artifacts,2
128,dwalldorf,track-my-fuel,pom.xml,stage,Artifacts,3
128,dwalldorf,track-my-fuel,Jenkinsfile,stage,Artifacts,4
129,alexpask,hello-world,*.jar,stage,Archive,1
130,Sharparam,pd2-sharpmod,*.zip,stage,Archive,1
131,eddyce,keras.sample1,*.whl,stage,Build,1
131,eddyce,keras.sample1,*.gz,stage,Build,2
132,aarmey,CV,Meyer_CV.pdf,stage,Build,1
132,aarmey,CV,Biosketch.pdf,stage,Build,2
133,wcpannell,riata-wiring,*,stage,builddocs,1
134,m-m-m,security,*.jar,stage,archive,1
135,KyleU,databaseflow,*.zip,stage,Build,1
136,scotnielsen,AirportDemo,*.*,stage,Package,1
136,scotnielsen,AirportDemo,MFCAResults.log,stage,Package,2
137,jenkinsci,sentry-plugin,*.hpi,post-success,success,1
138,deiviz79,maven-project-pipeline,*.war,post-success,success,1
139,sandeep078,jenkins-server,*.jar,post-always,always,1
139,sandeep078,jenkins-server,*.jar,post-always,always,2
140,beeva-franciscodiaz,test-pipeline,build_number,post-success,success,1
141,ONS-OpenData,Ref_CN,CN_2015_20180206_105537.ttl,post-always,always,1
142,sandeep078,maven-new,*.jar,post-always,always,1
142,sandeep078,maven-new,*.jar,post-always,always,2
143,yeswanth1234,a,*.war,stage,Archive,1
144,PaulTrampert,github-release-plugin,*.hpi,post-success,success,1
145,shariati,test-blue-ocean,test,stage,Build,1
145,shariati,test-blue-ocean,133,stage,Test,2
146,kriszhi,scripts,*.jar,stage,artifacts,1
147,hbenmansour,openshift-jmeter-kafka,*.csv,post-always,always,1
147,hbenmansour,openshift-jmeter-kafka,*.log,post-always,always,2
147,hbenmansour,openshift-jmeter-kafka,*.*,post-always,always,3
148,stefhen,jenkins-pipeline,nmap,stage,Artifacts,1
149,akshya-j31,my-app,*.jar,post-always,always,1
150,MrZeroo00,nRF52_SDK13,*.hex,stage,Archiving,1
150,MrZeroo00,nRF52_SDK13,*.out,stage,Archiving,2
151,dittoslash,conductor,conductor-arm,stage,CompileARM,1
151,dittoslash,conductor,conductor-x86,stage,CompileX86,2
152,sandeep078,Sample,*.jar,post-always,always,1
152,sandeep078,Sample,*.jar,post-always,always,2
