Research Question #6: Which archived artifact file extensions are most frequently and least frequently fingerprinted?
Answer: 
fingerprint,Extension,NumArtifacts,Percentage
true,.jar,62,55.9
true,None,17,15.3
true,All,10,9.0
true,.zip,7,6.3
true,.sh,4,3.6
true,.war,4,3.6
true,.xml,4,3.6
true,.html,3,2.7
"
"
"Jenkinsfile Parsed Data for Artifacts, Fingerprints and Extensions"
RepoNum,Username,RepositoryName,Extension,fingerprint,Occurrence
1,sellorm,alsoran,.rpm,true,1
1,sellorm,alsoran,.deb,true,2
2,Kaboomboom3,libRCON,.a,false,1
2,Kaboomboom3,libRCON,.so,false,2
3,aandalam,ci-cd-pipeline-demo,None,false,1
4,Kaboomboom3,SpaceBattleArena,.zip,false,1
5,yuanyuexiang,genesis,.tar.gz,false,1
6,babusankarv,jenkins-test,None,true,1
7,temitos2,IwalewaPipeline,None,true,1
8,zmaster587,AdvancedRocketry,.jar,true,1
9,r1co,magnolia-hello-world,.war,false,1
10,ambarish-bakre,CiBuildTest,.exe,false,1
10,ambarish-bakre,CiBuildTest,.msi,false,2
11,bluewhaleio,client,All,false,1
12,CodeValet,external-artifacts,.txt,false,1
13,KodingKing1,HyperIRC,.jar,false,1
14,SiavashSardari,my-repo,.jar,true,1
14,SiavashSardari,my-repo,.jar,true,2
15,Avinashpv,pro1,.war,true,1
16,kamkie,demo-spring-jsf,.jar,false,1
17,Shaoranlaos,scm-backup-plugin,.scmp,true,1
17,Shaoranlaos,scm-backup-plugin,.jar,true,2
18,dzmdre,maven-test,.war,false,1
19,Kukkubacka,blueocean,All,false,1
20,jeffy555,Python,All,false,1
21,zmaster587,libVulpes,.jar,true,1
22,hngovi,javahelloworld,.jar,true,1
23,eyedeekay,vaLAIR,None,true,1
23,eyedeekay,vaLAIR,None,true,2
23,eyedeekay,vaLAIR,None,true,3
24,imejri,average,.war,false,1
25,nagendran28,Nagu_CI-CD,.jar,true,1
26,Aseg,API,.yml,true,1
27,KyleU,boilerplay,.zip,true,1
28,KyleU,solitaire.gg,.zip,true,1
29,mseimys,minimal-react-redux,All,false,1
30,linuxacademy,cicd-pipeline-train-schedule-docker,.zip,false,1
31,mseimys,minimal-react-redux,All,false,1
32,nadeemt77,java-project,.jar,true,1
33,nagarajkrisjay,testps2,.jar,false,1
34,asafg6,jenkins2-pipeline-example,.txt,true,1
35,uldiskarlovskis,devops-rtu,.jar,true,1
36,Anrop,Anrop-ACE-Server,All,false,1
37,jiyunet,jiyunet,All,true,1
38,kanag,henkins-hello,.war,false,1
39,Lucasljungberg,sef18group15-CI-server,All,false,1
40,danieleratti,test-deploy,All,false,1
41,rubixhacker,Kontact,.aar,false,1
42,blacklr,java-project,.jar,true,1
43,tarjeio,libmathy,.a,false,1
43,tarjeio,libmathy,.h,false,2
43,tarjeio,libmathy,.xml,false,3
43,tarjeio,libmathy,.zip,false,4
44,dharmsheta,application-deliver,.sh,true,1
45,maheshshekhar,mjava,.jar,true,1
46,crazynagu07,Nagu_CI-CD,.jar,true,1
47,birla01,jenkinscopy,.war,false,1
48,KyleU,scala-js-typescript,.zip,true,1
49,xueyuanzang,HelloWorld,.jar,false,1
50,Sharparam,KFS,.zip,true,1
51,zmora-agh,zmora-runner,None,true,1
52,netants2016,Java-pipeline,.jar,true,1
53,mittal-anshul,jenkins-java-project,.jar,true,1
54,sammashu,demo-jenkin,.war,false,1
55,sasquench,jet,None,false,1
56,rautdeepak55,jenkins_pipeline,.war,false,1
57,biels,Minicat,.jar,true,1
58,baileyvw,jenkins-test,.jar,true,1
59,zDevelopers,MultipleInventories,.jar,true,1
60,stellasharon,jenkinsjob,.jar,true,1
61,gouthamchilakala,windows-helloworld,All,false,1
62,rcaucone,cloudbees_workshop,.txt,false,1
63,gbane2012,Java-project,.jar,true,1
64,arjunprabhulal,java-project,.jar,true,1
65,tuxparty,tuxparty,None,true,1
66,endogix,WebFormWeaver,All,false,1
67,GoMint,jRakNet,.jar,false,1
68,jramnani,game-of-life,.jar,false,1
69,b1-systems-training,jenkins-simple-pipeline,.tbz,false,1
70,j-selby,oxidgb,None,false,1
71,linuxacademy,cicd-pipeline-train-schedule-cd,.zip,false,1
72,kmalhi,examples,.sh,true,1
73,innaki2018,JenkinsPipeline,.war,false,1
74,zDevelopers,ZePS-Core,.jar,true,1
75,linagora,openpaas-mailets,.jar,true,1
76,ohnx-plugins,backpackSpigotPlugin,.1.0.jar,false,1
77,prateekpatel,java-project,.jar,true,1
78,sunilyadav85,elevator-app,.jar,false,1
79,KodingKing1,KKMasterPlugin,.jar,false,1
80,glorantq,ao3-java,.jar,true,1
81,nagarajkrisjay,maven-test,.jar,false,1
82,troyaxthelm,jenkinsdemo,None,false,1
83,crookm,loadjson,All,false,1
84,minnjm,maven-project-Jenkinsfile,.war,false,1
85,GImbrailo,HelloPHP,All,false,1
86,cloudtraining,cloudnative,.jar,true,1
